text,username,timestamp
shadowW,kaezar9,"2022-11-16 16:00:07,267"
@exbarboss i think thats how it its in the comics,piiont,"2022-11-16 16:00:09,184"
COPIUM we'll win this time,krugler,"2022-11-16 16:00:09,827"
!vote Bendy and the Dark Reviva,hurakan1,"2022-11-16 16:00:10,563"
"@HammerWoW oh, got it",exbarboss,"2022-11-16 16:00:19,941"
clayJEM,trashbag808,"2022-11-16 16:00:23,547"
@exbarboss SeemsGood,exbarboss,"2022-11-16 16:00:30,760"
RumbleCheer RumbleCheer,kaezar9,"2022-11-16 16:00:33,212"
Focus PauseChamp,alejan2ro,"2022-11-16 16:00:33,687"
FeelsOkayMan,hammerwow,"2022-11-16 16:00:42,405"
RumbleCheer,chofi0007,"2022-11-16 16:00:53,327"
GO LARRY Cheergi,box_art,"2022-11-16 16:01:03,926"
focus adam,krugler,"2022-11-16 16:01:07,667"
POGGERwobble PauseChampies Cheergi Prayge RumbleCheer,alejan2ro,"2022-11-16 16:01:11,698"
NOPERS,mobin_mli,"2022-11-16 16:01:30,894"
lirikWavy,mobin_mli,"2022-11-16 16:01:37,055"
Cheergi GO Cheergi  BONGO CLOUD Cheergi,salt_mix,"2022-11-16 16:01:41,121"
Prayge umbasa,hammerwow,"2022-11-16 16:01:42,146"
Black Adam looks fun to play,sam_brick,"2022-11-16 16:01:43,807"
!games,psychedelic_quest,"2022-11-16 16:01:45,652"
POGGOLI,kaezar9,"2022-11-16 16:01:46,364"
RareNayna dodge,alejan2ro,"2022-11-16 16:01:49,261"
Cheergi,buenotimeout,"2022-11-16 16:01:49,843"
worryDodge,kaezar9,"2022-11-16 16:02:04,098"
D:,alejan2ro,"2022-11-16 16:02:09,005"
ratKING doctorKick,retgektm8,"2022-11-16 16:02:31,230"
COPIUM,alejan2ro,"2022-11-16 16:02:32,190"
COPIUM ready for the winstreak to continue,hammerwow,"2022-11-16 16:02:54,892"
HandsUp goku take my strength,alejan2ro,"2022-11-16 16:03:01,832"
which one is lirik?,riskyyg,"2022-11-16 16:03:03,309"
KEKWQ is that from rick and morty?,hermitmonk,"2022-11-16 16:03:09,497"
cometalpaca RiskyyG,retgektm8,"2022-11-16 16:03:20,131"
do they have rick and morty in this game?,hermitmonk,"2022-11-16 16:03:21,081"
yes hermit,hammerwow,"2022-11-16 16:03:28,848"
Batoman AYAYA,alejan2ro,"2022-11-16 16:03:29,893"
Shroud carry,salt_mix,"2022-11-16 16:03:35,040"
Pog,krugler,"2022-11-16 16:03:35,692"
HammerWoW Pog,hermitmonk,"2022-11-16 16:03:36,069"
Pog,cala_mhm,"2022-11-16 16:03:38,564"
Pog,qnanimous,"2022-11-16 16:03:38,663"
Pog SHROUD Pog,salt_mix,"2022-11-16 16:03:43,790"
Dude got spiked so many times.,feenx_sama,"2022-11-16 16:03:44,018"
PogYou,kaezar9,"2022-11-16 16:03:44,729"
Lirik is working overtime Pog,birdoran,"2022-11-16 16:03:45,402"
the song in this map used to be much cooler,sam_brick,"2022-11-16 16:03:47,016"
shroud only running away KEKW,cala_mhm,"2022-11-16 16:03:52,379"
lirikTEN,dimsumdumpling,"2022-11-16 16:03:57,283"
@HermitMonk morty actually looks pretty fun KEKW,hammerwow,"2022-11-16 16:03:57,742"
Shroud and Lirik Pog,kdxt,"2022-11-16 16:04:06,232"
@HammerWoW PauseChampies,hermitmonk,"2022-11-16 16:04:10,931"
Cheergi Cheergi Cheergi Cheergi,alejan2ro,"2022-11-16 16:04:18,284"
@HammerWoW I am downloading this game just to try them out KEKW,hermitmonk,"2022-11-16 16:04:30,963"
