text,username,timestamp
Clueless,thewarrioroneal,"2022-11-16 15:52:23,334"
CLASSY,bengriff,"2022-11-16 15:52:24,684"
uyh....wow,raburn,"2022-11-16 15:52:26,238"
LOLLLL,megaledon,"2022-11-16 15:52:26,407"
WOT,commandedtosub,"2022-11-16 15:52:26,486"
BOOBA,leeayzahn,"2022-11-16 15:52:26,564"
LOL,destroyvader,"2022-11-16 15:52:26,564"
WTF LOL,cocainn,"2022-11-16 15:52:27,145"
LOL,existentialism123,"2022-11-16 15:52:27,240"
HUH,floatixx,"2022-11-16 15:52:27,893"
EZ,jojo4esta,"2022-11-16 15:52:28,054"
i can literally,lum0x33,"2022-11-16 15:52:28,500"
"oh, woooooooow",cirro_cld,"2022-11-16 15:52:28,579"
uhhh wow... lol,zalg0,"2022-11-16 15:52:28,917"
lol,weirdoflix,"2022-11-16 15:52:28,946"
KEKW,lowpolybreakfast,"2022-11-16 15:52:29,070"
dahmer monkaW,aoc_bae,"2022-11-16 15:52:29,070"
my man,thewaterbear39,"2022-11-16 15:52:29,285"
they cant look out the window,necesi7o,"2022-11-16 15:52:29,641"
KEKW,c3n50r807i,"2022-11-16 15:52:29,797"
Snooki NOPERS,promnightmistake,"2022-11-16 15:52:30,007"
PepeLaugh your not dumb,tortuges_,"2022-11-16 15:52:30,085"
KEKW,cirro_cld,"2022-11-16 15:52:30,085"
Clueless,commodore_84,"2022-11-16 15:52:30,565"
My man,yeti_1899,"2022-11-16 15:52:31,488"
snoki you skank i love it,squishmitten66,"2022-11-16 15:52:31,658"
PepeLaugh,fleener,"2022-11-16 15:52:32,211"
jefferey duahmer,zademiscool,"2022-11-16 15:52:32,293"
Clueless,gorillamarketing_,"2022-11-16 15:52:32,980"
oh wow,bbuds,"2022-11-16 15:52:33,080"
Aww the taxi driver looked so sweet,starkitty333,"2022-11-16 15:52:33,429"
poor driver KEKW,lady_sarcasm,"2022-11-16 15:52:33,625"
RED BANK,clivent,"2022-11-16 15:52:33,965"
LULW,logicalforce,"2022-11-16 15:52:34,595"
So classy,wideboomerhappy,"2022-11-16 15:52:34,889"
:tf:,takenotes_us,"2022-11-16 15:52:35,121"
KEKW,legendarian22,"2022-11-16 15:52:37,138"
MY MAN PepeLaugh,sirblexington,"2022-11-16 15:52:37,215"
monkaW,commodore_84,"2022-11-16 15:52:37,477"
Kidnapping LULW,supposedlyfun,"2022-11-16 15:52:37,557"
HAHAHAH,bishopbones,"2022-11-16 15:52:38,188"
EZ Clap,mrgeriatric,"2022-11-16 15:52:38,944"
LOL,zalg0,"2022-11-16 15:52:38,957"
WTF,gawzilla23,"2022-11-16 15:52:39,113"
KEKW,xchainfirex,"2022-11-16 15:52:39,914"
OMEGALUL,singleplayerhero,"2022-11-16 15:52:39,990"
ARE YOU REALLY?,clivent,"2022-11-16 15:52:39,990"
W DRIVER,chrisreams08,"2022-11-16 15:52:40,482"
LUL,odd_machine,"2022-11-16 15:52:40,729"
BACK WAY,existentialism123,"2022-11-16 15:52:40,979"
LUL,lg_kush,"2022-11-16 15:52:41,413"
Clueless,don_rasta,"2022-11-16 15:52:41,482"
OMEGALUL,javierdicaprio,"2022-11-16 15:52:42,162"
back way KEKW,boomgone,"2022-11-16 15:52:42,239"
:tf:,jinato_,"2022-11-16 15:52:42,239"
so good KEKW,rikarudo06,"2022-11-16 15:52:42,239"
Based Kidnapper,supposedlyfun,"2022-11-16 15:52:44,088"
Clueless YEE,dukeoffear,"2022-11-16 15:52:44,164"
monkaW,smccan,"2022-11-16 15:52:44,164"
PepeLa ella no sabe,jehoevas_thiccnesss,"2022-11-16 15:52:44,164"
That way KEKW,reykohavoc,"2022-11-16 15:52:44,164"
ON THE HIGHWAY,clivent,"2022-11-16 15:52:44,164"
yeah the back way,giinby,"2022-11-16 15:52:44,164"
the back way,lunchbiz,"2022-11-16 15:52:44,241"
LUL LUL,snypelite34,"2022-11-16 15:52:44,241"
EZ Clap,mrsuicidemuffin27,"2022-11-16 15:52:44,241"
FeelsDankMan,zeusyboy01,"2022-11-16 15:52:44,241"
LMAO the cabbie is lying to them,eklypzeoak,"2022-11-16 15:52:44,241"
HAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHHHAHAHAH,revangel10n,"2022-11-16 15:52:44,555"
lmao give that man a raise,bclawz,"2022-11-16 15:52:44,793"
